Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,1.09,1.27,0.42,1.7,1.42,4.52,0.92,0,1.9,7.26,0,1.1
2001,3.94,1.01,2.78,4.09,4.63,0.83,0,6.24,3.87,3.55,3.94,2.67
2002,0.39,0.39,1.54,2.43,1.29,0,7.79,1.08,6.87,7.11,2.38,3.74
2003,4.1,2.65,2.36,0.11,0.16,4.15,8.41,0.95,7.94,2.18,0.27,0.14
2004,2.65,1.77,4.31,8.58,2.61,10.28,2.57,4.72,1.44,4.94,7.5,0.07
2005,2.4,2.77,3.85,0.06,3.65,0.67,3.65,1.96,0.89,1.91,0.98,0
2006,0.63,0.47,1.16,0.94,2.3,0.66,0.9,0,5.31,1.79,0.26,2.6
2007,4.75,0.08,4.75,2.85,7.85,7.75,16.1,8.43,2.18,0,0.37,0.21
2008,0,0,1.49,0,0.45,0,2.74,0,0,0,0,0.04
2009,0.28,0.45,0,0.83,1.63,0.17,1.39,1.53,4.95,8.3,0.76,1.92
2010,4.1,4.51,2.92,2.77,1.01,0.84,2.81,0.15,4.11,0.25,0.02,0.99
2011,2.1,0.31,0.38,0.21,1.93,0.43,1.16,0.12,1.67,3.04,0.73,1.64
